月份/地点,六里屯预测,六里屯实际
32.0,49.0162,48.000004
38.0,39.43578,36.0
12.0,11.6136465,12.000001
46.0,40.620018,64.0
47.0,65.58685,70.00001
26.0,83.29642,91.0
18.0,559.28906,667.00006
48.0,71.39199,140.0
27.0,61.852474,55.000004
36.0,54.063927,44.000004
16.0,545.139,461.0
34.0,121.66101,118.0
17.0,510.523,585.0
14.0,487.05786,440.0
43.0,23.381598,22.0
23.0,169.45164,538.0
13.0,42.107735,441.00003
35.0,97.78333,80.0
41.0,48.404255,52.0
20.0,462.67395,418.0
25.0,113.36211,118.0
22.0,63.425797,57.0
33.0,105.63689,124.0
19.0,603.56036,445.0
11.0,27.739456,28.0
15.0,484.9332,523.0
40.0,59.643772,76.0
24.0,223.03912,218.0
21.0,296.6513,345.0
42.0,34.67999,35.0
28.0,47.117863,19.0
44.0,19.156466,28.0
37.0,18.340807,90.0
30.0,27.328918,109.0
29.0,43.88579,63.000004
39.0,20.00498,101.0
31.0,78.70312,41.0
45.0,20.052515,54.000008
