白纸坊,大红门,德胜,东华门,东铁营,广安门外,建外,酒仙桥,六里屯,卢沟桥乡,马家堡,南磨房,西长安街,右安门,月坛
107,15,200,176,22,14,223,376,247,32,2,111,5,2,307
59,23,84,138,17,9,168,276,147,13,1,176,4,12,199
66,26,139,232,34,20,357,627,296,38,2,331,6,18,292
71,56,137,214,52,21,367,520,440,35,2,500,5,37,320
71,60,200,200,85,15,330,397,352,54,9,298,3,51,314
94,35,222,171,85,2,227,375,314,54,16,238,4,39,245
50,164,133,131,131,7,114,301,228,89,16,288,1,49,108
39,220,178,125,84,20,103,189,127,93,8,283,2,15,79
31,161,308,213,80,10,78,156,218,73,19,289,5,21,205
42,196,218,155,78,23,14,119,139,52,6,267,3,36,186
24,200,117,106,51,8,6,38,36,37,3,163,4,58,86
17,186,148,118,47,22,17,19,3,30,2,83,3,53,136
16,245,119,101,35,20,194,158,220,30,3,63,13,57,133
8,195,79,76,42,19,121,164,148,17,5,69,3,41,105
7,237,144,141,65,21,460,300,269,33,5,160,7,23,173
9,283,191,144,57,9,497,212,366,57,2,143,7,54,231
22,269,164,207,47,13,518,208,301,73,4,121,1,56,225
17,335,164,208,73,19,413,134,192,57,10,100,21,49,222
62,291,149,249,85,17,323,108,117,61,9,84,50,39,224
42,234,168,179,108,42,420,88,100,90,11,90,40,54,239
49,141,201,176,9,62,249,126,113,59,1,113,43,30,220
51,138,193,119,4,136,79,228,86,82,2,69,44,37,230
39,205,153,102,32,195,353,384,161,56,4,33,38,27,164
8,119,126,43,48,143,342,167,135,62,11,35,28,27,107
4,64,46,175,29,108,170,64,70,25,1,59,25,16,95
16,193,34,208,87,67,185,278,146,68,6,82,18,18,96
13,279,105,283,70,67,220,291,136,58,2,150,51,19,139
14,155,188,243,61,77,315,141,97,34,6,206,32,8,175
16,196,343,138,51,77,234,79,94,72,3,180,14,21,148
23,242,355,215,110,99,300,65,134,158,12,224,9,30,153
18,179,232,303,78,159,147,78,100,116,26,239,8,21,263
9,188,289,209,56,172,168,100,128,125,25,222,5,17,292
26,234,230,262,58,185,221,31,89,134,13,161,17,33,340
11,126,130,246,72,153,138,38,73,85,23,124,9,22,311
23,261,186,318,51,173,300,171,155,110,14,128,14,21,332
24,153,137,252,34,119,285,144,188,79,8,154,4,7,197
15,167,110,153,50,80,278,178,187,134,29,174,4,15,280
8,63,56,171,16,37,141,123,82,52,20,121,4,18,139
9,115,119,155,27,74,206,111,116,98,33,216,5,25,301
8,146,165,150,34,75,312,109,134,76,45,233,6,15,384
8,141,180,173,52,127,239,83,119,97,44,212,8,41,405
13,165,107,149,24,85,153,115,59,76,14,170,5,15,312
16,143,65,186,28,42,154,95,49,63,28,151,4,27,327
11,165,52,174,42,35,138,107,26,73,32,142,4,48,245
17,186,86,120,33,56,199,94,32,67,47,135,4,40,267
10,268,48,186,81,68,255,174,38,99,50,126,13,32,216
11,280,39,118,110,70,182,148,23,73,49,103,6,29,185
6,187,14,114,63,52,174,147,14,52,32,93,4,17,130
