白纸坊,朝外,朝阳门,大红门,德胜,东华门,东铁营,广安门外,建外,劲松,酒仙桥,六里屯,卢沟桥乡,马家堡,南磨房,前门,曙光,王佐镇,西罗园,西长安街,香河园,亚运村,右安门,月坛
9,227,130,19,803,463,102,637,376,528,274,239,106,17,375,62,190,24,7,496,195,312,14,1838
11,146,206,2856,830,594,1924,658,514,833,253,252,1300,292,524,101,256,2664,93,625,191,343,698,1828
5,184,189,6438,870,712,3628,633,924,1308,416,196,3470,1115,504,114,319,8522,142,594,181,379,2021,2122
3,268,115,6166,766,558,3514,568,677,1512,474,198,4239,880,590,81,295,6691,43,465,128,472,1381,1901
4,374,70,7295,897,652,3253,557,530,1278,545,243,4492,970,474,80,291,7659,46,472,119,374,1145,2038
5,562,129,6202,987,783,2860,598,559,1014,581,312,5009,1178,204,43,418,7995,154,482,50,307,618,1656
3,1002,188,5306,432,894,3069,317,808,1003,728,721,5082,1228,285,44,368,8952,489,240,79,270,901,775
2,774,212,4373,979,1272,2850,552,872,996,601,482,4025,1121,293,63,326,7558,556,422,101,203,597,1570
5,744,167,3595,865,960,2112,450,817,896,506,410,5158,569,463,58,324,4289,551,458,132,321,256,1527
7,675,100,2482,996,717,1373,486,998,899,681,563,4021,405,408,56,46,2054,459,559,136,299,141,1637
10,1057,37,2432,1148,476,1212,541,808,744,545,475,3419,378,221,47,35,710,544,649,191,234,181,1293
5,1074,50,2110,1218,499,385,613,710,618,577,408,2588,267,257,31,33,408,605,734,202,266,162,1557
5,307,65,2769,1286,623,259,677,661,455,521,242,3372,275,258,36,37,502,493,1204,120,305,113,1880
12,388,45,2328,1231,605,179,643,948,572,652,420,2598,335,453,60,26,610,440,1320,310,607,102,1727
2,403,66,1490,1066,738,160,627,995,863,826,590,2059,218,517,87,12,344,224,1115,446,24,59,1937
2,342,74,1947,923,568,236,434,914,807,850,708,1798,323,505,29,4,209,292,890,451,15,157,1536
3,233,32,2549,1018,487,258,500,647,616,964,620,1879,675,402,44,8,855,285,962,422,14,368,1642
17,150,21,2518,1009,519,284,478,619,826,900,796,1476,521,440,59,14,1089,332,939,379,7,328,1603
25,93,23,3167,1104,610,259,608,382,852,852,859,1360,543,521,71,44,1308,366,1007,499,149,273,1584
37,109,44,2130,947,413,78,548,438,629,731,453,1271,264,490,39,55,1068,287,964,489,173,272,1506
47,94,41,1509,1057,491,11,677,208,879,1008,397,987,106,605,67,41,1279,198,965,164,80,255,1657
47,20,35,1267,1226,404,30,683,45,710,716,68,897,149,259,46,35,1190,211,778,127,29,256,2195
23,198,36,1161,1223,368,50,987,220,744,1520,519,864,210,245,46,29,1090,161,470,366,360,229,2124
17,306,9,517,1032,108,94,906,207,868,1460,495,801,134,206,11,38,364,171,420,388,329,166,1757
33,525,46,390,1412,935,83,1128,298,1546,1568,480,845,116,318,56,46,589,303,383,538,405,226,2288
60,533,24,497,1227,978,76,1040,393,1310,1216,309,495,171,270,66,73,954,225,302,396,209,260,2301
41,389,34,589,1153,1139,99,855,372,1080,812,227,643,114,274,45,61,739,295,249,380,210,258,1978
31,276,39,120,674,999,35,530,450,978,380,221,194,12,232,29,51,141,55,102,225,104,34,1546
39,314,37,77,397,853,50,437,328,1428,389,198,97,9,249,22,19,45,1,66,365,153,16,1347
28,262,52,180,290,858,167,254,249,1179,340,211,287,192,225,20,43,76,24,55,318,219,261,1056
11,119,39,168,187,933,146,85,219,989,379,140,313,153,336,92,45,108,41,52,258,263,179,667
17,89,51,119,84,1080,107,37,124,883,352,171,212,172,345,114,56,144,35,24,262,202,147,385
75,143,42,239,60,1010,73,55,121,1139,401,209,219,164,317,79,101,329,51,9,314,258,169,220
105,346,60,583,63,832,86,75,270,1361,709,264,281,184,316,109,79,248,72,12,466,281,95,224
172,275,119,1153,102,807,397,100,177,1189,448,301,1197,260,359,115,142,590,143,19,472,129,134,152
156,350,79,498,107,897,321,87,280,863,525,349,863,185,558,118,152,614,153,33,469,170,172,135
251,445,162,361,89,1175,184,66,405,1189,740,256,872,145,598,215,314,550,141,24,497,193,230,127
119,472,112,349,51,986,110,75,559,917,613,227,561,108,477,184,353,402,124,25,427,213,168,76
41,540,116,530,58,1217,32,41,454,774,417,243,583,124,605,298,405,310,70,25,337,214,142,103
49,642,92,862,85,981,278,35,367,589,447,293,895,233,429,180,273,464,48,56,337,262,244,140
98,616,121,2334,258,942,528,98,483,769,651,359,3090,774,539,173,694,1229,76,225,400,337,1241,535
93,587,66,2491,318,679,410,131,594,726,557,307,3069,963,365,136,699,1853,50,174,377,300,1201,666
152,791,68,2248,252,622,437,110,559,932,719,365,2702,615,298,144,852,1635,53,194,339,313,974,846
164,827,93,3411,252,703,724,91,517,844,562,276,4311,866,288,213,930,3304,61,146,287,335,1424,764
253,767,77,3347,244,619,478,72,549,783,629,318,3829,680,348,230,932,2789,355,114,181,333,1219,721
252,637,90,2805,270,444,340,133,426,1008,709,334,2052,431,412,287,686,1936,266,128,266,490,790,716
340,557,87,2537,161,587,77,119,350,931,703,317,1371,332,491,154,928,1104,40,93,366,556,531,613
642,554,61,2536,240,453,92,132,361,663,705,306,1676,624,289,98,1073,1785,366,128,315,545,1115,507
