朝阳门,大红门,德胜,东华门,东直门,广安门外,海淀,建外,酒仙桥,六里屯,卢沟桥乡,马家堡,南磨房,曙光,王佐镇,香河园,亚运村,右安门
165,2,315,193,133,689,25,113,147,91,25,5,126,33,5,81,168,8
111,610,133,167,60,172,20,67,265,52,978,221,401,14,22,70,135,41
204,7712,335,187,67,480,30,59,173,170,6738,499,588,24,138,46,226,189
204,5269,400,194,89,534,27,174,114,159,11857,501,741,26,44,38,148,210
118,6379,327,85,68,651,26,147,86,180,14749,393,647,59,1,60,70,267
243,4991,272,84,56,507,10,92,122,93,14258,551,227,63,48,5,75,283
193,3664,153,130,27,193,7,56,135,14,9523,459,252,29,44,18,80,267
46,1392,304,61,9,351,6,45,76,13,8143,513,191,24,190,38,66,272
79,1016,356,43,33,277,13,28,172,10,6599,485,271,31,192,19,103,394
124,549,439,38,15,553,4,24,142,9,6977,490,315,2,153,4,117,498
66,465,337,71,24,472,4,25,186,28,6036,407,216,7,54,16,124,515
72,683,599,128,29,591,1,58,147,12,4453,416,242,14,47,17,124,458
66,614,456,60,24,540,1,78,277,441,4218,267,247,12,31,161,122,271
37,564,319,9,20,205,1,123,257,440,2786,188,321,1,14,275,247,258
83,881,668,132,92,502,1,241,371,523,3841,252,364,1,39,737,21,263
61,1215,490,61,37,626,17,168,206,461,4863,434,481,1,68,722,9,342
76,1691,610,169,118,604,31,90,156,585,6166,577,525,5,282,585,6,758
35,1441,691,80,69,662,23,152,113,667,5980,701,385,2,345,622,4,588
31,1769,649,47,147,560,7,182,112,445,6520,766,356,32,187,278,21,518
37,1213,785,57,86,572,20,227,102,418,4380,552,301,29,73,126,77,471
15,988,802,4,6,660,10,189,234,345,2383,264,328,43,67,61,42,511
12,915,843,1,25,815,16,17,77,57,2125,329,229,18,63,59,4,409
10,1196,950,15,19,804,46,311,204,538,1685,348,180,30,90,254,171,687
5,379,676,3,2,841,47,73,142,218,645,53,86,27,106,55,207,728
7,56,517,15,7,422,21,40,31,118,634,100,99,18,60,20,159,579
6,132,494,49,42,410,24,48,34,91,885,206,134,16,66,26,170,616
13,251,555,20,32,413,14,35,51,55,721,215,104,8,172,4,95,557
14,34,384,68,50,259,14,78,260,19,124,16,392,14,43,7,75,53
6,26,174,7,10,176,13,118,402,63,21,1,534,11,22,3,139,15
14,65,109,11,13,64,32,96,204,109,378,115,478,16,50,30,352,50
3,74,78,5,22,16,18,80,149,41,151,55,363,11,23,51,285,66
5,75,56,26,4,18,20,42,52,48,111,111,320,24,44,120,132,136
12,91,54,30,7,10,21,36,69,124,248,177,390,42,52,103,229,114
10,87,39,4,2,22,11,55,220,118,135,75,206,19,25,44,171,84
20,309,41,109,21,22,23,84,229,80,1181,293,409,43,19,60,59,171
5,110,44,31,38,9,15,53,83,44,536,230,423,26,16,26,85,77
12,213,28,76,176,15,90,39,92,90,421,239,574,29,36,31,149,65
4,84,11,20,72,9,114,32,29,36,164,100,245,22,3,24,132,28
20,225,33,34,189,9,121,88,99,101,324,59,408,40,16,24,98,24
6,147,85,29,132,23,22,22,53,76,671,141,356,44,45,25,41,90
15,267,233,36,131,32,105,54,73,52,2291,289,340,28,49,53,74,209
26,231,280,43,140,46,97,47,35,35,3306,395,209,31,64,103,75,184
30,204,257,49,130,22,97,40,27,22,2471,217,179,48,17,23,20,101
3,280,270,48,288,32,79,78,19,28,4178,768,293,35,20,42,26,182
24,319,450,38,143,24,103,92,27,54,3793,1162,228,31,37,47,31,225
34,264,734,33,168,34,81,105,10,64,3069,1178,270,75,35,110,28,162
18,320,754,45,286,125,123,111,4,70,2083,1120,359,132,21,198,45,213
11,231,741,71,261,78,86,124,12,140,2884,1072,211,164,26,114,42,104
